arquivo_original,arquivo_novo,modelo,angulo,uso,observacao
scooters_estudio_lote1/07_scooter_azul_classico.png,citycoco-king-pro-x30/citycoco-x30-unionjack-duplo.png,citycoco-king-pro-x30,dupla,galeria,Duas unidades no mesmo frame
scooters_estudio_lote1/08_scooter_laranja_frente.png,citycoco-slim/citycoco-slim-laranja-34-traseira.png,citycoco-slim,3/4 traseira,galeria,
scooters_estudio_lote1/09_scooter_laranja_lateral.png,citycoco-slim/citycoco-slim-laranja-frente.png,citycoco-slim,frente,galeria,
scooters_estudio_lote1/10_scooter_azul_preto_s9.png,citycoco-slim/citycoco-slim-azul-34-traseira.png,citycoco-slim,3/4 traseira,galeria,
scooters_estudio_lote2/11_scooter_branco_vermelho_frente.png,citycoco-king-pro-x30/citycoco-x30-unionjack-lateral.png,citycoco-king-pro-x30,lateral pura,principal,NOME ORIGINAL ERRADO
scooters_estudio_lote2/12_scooter_azul_union_jack_lateral.png,konnan-explorer-ii/konnan-explorer-ii-verde-34-frente-alt.png,konnan-explorer-ii,3/4 frente,galeria,NOME ORIGINAL ERRADO
scooters_estudio_lote2/13_scooter_preto_amarelo_frente.png,scooter-urbano-grafite/urbano-grafite-lateral.png,scooter-urbano-grafite,lateral,principal,NOME ORIGINAL ERRADO
scooters_estudio_lote2/14_scooter_preto_amarelo_lateral.png,konnan-explorer-ii/konnan-explorer-ii-verde-frente.png,konnan-explorer-ii,frente,galeria,NOME ORIGINAL ERRADO
scooters_estudio_lote2/15_bicicleta_eletrica_verde_frente.png,konnan-explorer-ii/konnan-explorer-ii-verde-lateral.png,konnan-explorer-ii,lateral,galeria,NOME ORIGINAL ERRADO
scooters_estudio_lote2/16_scooter_preto_grafite_estudio.png,scooter-urbano-branco-vermelho/urbano-branco-vermelho-traseira-plaqueta.png,scooter-urbano-branco-vermelho,traseira,compliance,NOME ORIGINAL ERRADO - plaqueta visivel
scooters_estudio_lote2/17_bicicleta_eletrica_verde_lateral.png,scooter-urbano-branco-vermelho/urbano-branco-vermelho-frente.png,scooter-urbano-branco-vermelho,frente,principal,NOME ORIGINAL ERRADO
scooters_estudio_lote2/18_bicicleta_eletrica_verde_angulo.png,scooter-urbano-preto-amarelo/urbano-preto-amarelo-frente.png,scooter-urbano-preto-amarelo,frente,principal,NOME ORIGINAL ERRADO
scooters_estudio_lote2/19_scooter_grafite_frontal.png,scooter-urbano-preto-amarelo/urbano-preto-amarelo-34-duplo.png,scooter-urbano-preto-amarelo,dupla,galeria,NOME ORIGINAL ERRADO - dois angulos no frame
scooters_estudio_lote2/20_scooter_branca_traseira.png,scooter-urbano-grafite/urbano-grafite-frente.png,scooter-urbano-grafite,frente,galeria,NOME ORIGINAL ERRADO
